Fault: , U3Gate variation fault at 0, ratio parameter: 1 0.9 1, bias parameter: 0 0 0
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.80901699-0.58778525j]]
faultfree_matrix, [[1.+0.0000000e+00j 0.-0.0000000e+00j] [0.+0.0000000e+00j 1.-2.4492936e-16j]]
faulty_quantum_state, [0.9999875 +0.j         0.00407135-0.00290239j]
faultfree_quantum_state, [0.9999875 +0.00000000e+00j 0.00499973+4.99989583e-05j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 4.930382145366362e-32
-3.141592653589793, -3.141592653589793, -2.827433388230814, 4.930380662223099e-32
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 4.930381833125675e-32
-3.141592653589793, -3.141592653589793, -2.199114857512855, 4.930385507693465e-32
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 4.930389547307352e-32
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 4.930393555926759e-32
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 4.930394801445676e-32
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 4.930393313710638e-32
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 4.930389750493387e-32
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 4.930385213819877e-32
-3.141592653589793, -3.141592653589793, 0.0, 4.930381760805221e-32
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 4.930380662223099e-32
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 4.930382315262029e-32
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 4.930386122991289e-32
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 4.930390800861874e-32
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 4.930394547750118e-32
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 4.930395315724454e-32
-3.141592653589793, -3.141592653589793, 2.199114857512855, 4.930394047246664e-32
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 4.930390586196402e-32
-3.141592653589793, -3.141592653589793, 2.827433388230814, 4.930385810750602e-32
-3.141592653589793, -3.141592653589793, 3.141592653589793, 4.930382229166252e-32
-3.141592653589793, -2.827433388230814, -3.141592653589793, 1.4877350377594576e-38
-3.141592653589793, -2.827433388230814, -2.827433388230814, 4.591774807899561e-41
-3.141592653589793, -2.827433388230814, -2.5132741228718345, 1.1754943508222875e-38
-3.141592653589793, -2.827433388230814, -2.199114857512855, 4.850062140843911e-38
-3.141592653589793, -2.827433388230814, -1.8849555921538759, 8.889676028093549e-38
-3.141592653589793, -2.827433388230814, -1.5707963267948966, 1.2898295435389866e-37
-3.141592653589793, -2.827433388230814, -1.2566370614359172, 1.4143814352032621e-37
-3.141592653589793, -2.827433388230814, -0.9424777960769379, 1.2656079314273164e-37
-3.141592653589793, -2.827433388230814, -0.6283185307179586, 9.092862063343105e-38
-3.141592653589793, -2.827433388230814, -0.3141592653589793, 4.556188553138339e-38
-3.141592653589793, -2.827433388230814, 0.0, 1.1031738975978694e-38
-3.141592653589793, -2.827433388230814, 0.3141592653589793, 4.591774807899561e-41
-3.141592653589793, -2.827433388230814, 0.6283185307179586, 1.6576307056517414e-38
-3.141592653589793, -2.827433388230814, 0.9424777960769379, 5.465359965102452e-38
-3.141592653589793, -2.827433388230814, 1.2566370614359172, 1.014323055065013e-37
-3.141592653589793, -2.827433388230814, 1.5707963267948966, 1.389011879389617e-37
-3.141592653589793, -2.827433388230814, 1.8849555921538759, 1.4658093130517372e-37
-3.141592653589793, -2.827433388230814, 2.199114857512855, 1.3389615339835119e-37
-3.141592653589793, -2.827433388230814, 2.5132741228718345, 9.928565078380825e-38
-3.141592653589793, -2.827433388230814, 2.827433388230814, 5.153119278165282e-38
-3.141592653589793, -2.827433388230814, 3.141592653589793, 1.5715349280036246e-38
-3.141592653589793, -2.5132741228718345, -3.141592653589793, 1.9721524118260333e-31
-3.141592653589793, -2.5132741228718345, -2.827433388230814, 1.972152263511707e-31
-3.141592653589793, -2.5132741228718345, -2.5132741228718345, 1.9721523806019646e-31
-3.141592653589793, -2.5132741228718345, -2.199114857512855, 1.9721527480587436e-31
-3.141592653589793, -2.5132741228718345, -1.8849555921538759, 1.9721531520201323e-31
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 1.972153552882073e-31
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 1.9721536774339647e-31
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 1.972153528660461e-31
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 1.972153172338736e-31
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 1.972152718671385e-31
-3.141592653589793, -2.5132741228718345, 0.0, 1.9721523733699193e-31
-3.141592653589793, -2.5132741228718345, 0.3141592653589793, 1.972152263511707e-31
-3.141592653589793, -2.5132741228718345, 0.6283185307179586, 1.9721524288156e-31
-3.141592653589793, -2.5132741228718345, 0.9424777960769379, 1.972152809588526e-31
-3.141592653589793, -2.5132741228718345, 1.2566370614359172, 1.9721532773755846e-31
-3.141592653589793, -2.5132741228718345, 1.5707963267948966, 1.972153652064409e-31
-3.141592653589793, -2.5132741228718345, 1.8849555921538759, 1.9721537288618426e-31
-3.141592653589793, -2.5132741228718345, 2.199114857512855, 1.9721536020140635e-31
-3.141592653589793, -2.5132741228718345, 2.5132741228718345, 1.9721532559090374e-31
-3.141592653589793, -2.5132741228718345, 2.827433388230814, 1.9721527783644573e-31
-3.141592653589793, -2.5132741228718345, 3.141592653589793, 1.9721524202060223e-31
-3.141592653589793, -2.199114857512855, -3.141592653589793, 4.930382145366362e-32
-3.141592653589793, -2.199114857512855, -2.827433388230814, 4.930380662223099e-32
-3.141592653589793, -2.199114857512855, -2.5132741228718345, 4.930381833125675e-32
-3.141592653589793, -2.199114857512855, -2.199114857512855, 4.930385507693465e-32
-3.141592653589793, -2.199114857512855, -1.8849555921538759, 4.930389547307352e-32
-3.141592653589793, -2.199114857512855, -1.5707963267948966, 4.930393555926759e-32
-3.141592653589793, -2.199114857512855, -1.2566370614359172, 4.930394801445676e-32
-3.141592653589793, -2.199114857512855, -0.9424777960769379, 4.930393313710638e-32
-3.141592653589793, -2.199114857512855, -0.6283185307179586, 4.930389750493387e-32
-3.141592653589793, -2.199114857512855, -0.3141592653589793, 4.930385213819877e-32
-3.141592653589793, -2.199114857512855, 0.0, 4.930381760805221e-32
-3.141592653589793, -2.199114857512855, 0.3141592653589793, 4.930380662223099e-32
-3.141592653589793, -2.199114857512855, 0.6283185307179586, 4.930382315262029e-32
-3.141592653589793, -2.199114857512855, 0.9424777960769379, 4.930386122991289e-32
-3.141592653589793, -2.199114857512855, 1.2566370614359172, 4.930390800861874e-32
-3.141592653589793, -2.199114857512855, 1.5707963267948966, 4.930394547750118e-32
-3.141592653589793, -2.199114857512855, 1.8849555921538759, 4.930395315724454e-32
-3.141592653589793, -2.199114857512855, 2.199114857512855, 4.930394047246664e-32
-3.141592653589793, -2.199114857512855, 2.5132741228718345, 4.930390586196402e-32
-3.141592653589793, -2.199114857512855, 2.827433388230814, 4.930385810750602e-32
-3.141592653589793, -2.199114857512855, 3.141592653589793, 4.930382229166252e-32
-3.141592653589793, -1.8849555921538759, -3.141592653589793, 4.930382145366362e-32
-3.141592653589793, -1.8849555921538759, -2.827433388230814, 4.930380662223099e-32
-3.141592653589793, -1.8849555921538759, -2.5132741228718345, 4.930381833125675e-32
-3.141592653589793, -1.8849555921538759, -2.199114857512855, 4.930385507693465e-32
-3.141592653589793, -1.8849555921538759, -1.8849555921538759, 4.930389547307352e-32
-3.141592653589793, -1.8849555921538759, -1.5707963267948966, 4.930393555926759e-32
-3.141592653589793, -1.8849555921538759, -1.2566370614359172, 4.930394801445676e-32
-3.141592653589793, -1.8849555921538759, -0.9424777960769379, 4.930393313710638e-32
-3.141592653589793, -1.8849555921538759, -0.6283185307179586, 4.930389750493387e-32
-3.141592653589793, -1.8849555921538759, -0.3141592653589793, 4.930385213819877e-32
-3.141592653589793, -1.8849555921538759, 0.0, 4.930381760805221e-32
-3.141592653589793, -1.8849555921538759, 0.3141592653589793, 4.930380662223099e-32
-3.141592653589793, -1.8849555921538759, 0.6283185307179586, 4.930382315262029e-32
-3.141592653589793, -1.8849555921538759, 0.9424777960769379, 4.930386122991289e-32
-3.141592653589793, -1.8849555921538759, 1.2566370614359172, 4.930390800861874e-32
-3.141592653589793, -1.8849555921538759, 1.5707963267948966, 4.930394547750118e-32
-3.141592653589793, -1.8849555921538759, 1.8849555921538759, 4.930395315724454e-32
-3.141592653589793, -1.8849555921538759, 2.199114857512855, 4.930394047246664e-32
-3.141592653589793, -1.8849555921538759, 2.5132741228718345, 4.930390586196402e-32
-3.141592653589793, -1.8849555921538759, 2.827433388230814, 4.930385810750602e-32
-3.141592653589793, -1.8849555921538759, 3.141592653589793, 4.930382229166252e-32
-3.141592653589793, -1.5707963267948966, -3.141592653589793, 1.9721524118260333e-31
-3.141592653589793, -1.5707963267948966, -2.827433388230814, 1.972152263511707e-31
-3.141592653589793, -1.5707963267948966, -2.5132741228718345, 1.9721523806019646e-31
-3.141592653589793, -1.5707963267948966, -2.199114857512855, 1.9721527480587436e-31
-3.141592653589793, -1.5707963267948966, -1.8849555921538759, 1.9721531520201323e-31
-3.141592653589793, -1.5707963267948966, -1.5707963267948966, 1.972153552882073e-31
-3.141592653589793, -1.5707963267948966, -1.2566370614359172, 1.9721536774339647e-31
-3.141592653589793, -1.5707963267948966, -0.9424777960769379, 1.972153528660461e-31
-3.141592653589793, -1.5707963267948966, -0.6283185307179586, 1.972153172338736e-31
-3.141592653589793, -1.5707963267948966, -0.3141592653589793, 1.972152718671385e-31
-3.141592653589793, -1.5707963267948966, 0.0, 1.9721523733699193e-31
-3.141592653589793, -1.5707963267948966, 0.3141592653589793, 1.972152263511707e-31
-3.141592653589793, -1.5707963267948966, 0.6283185307179586, 1.9721524288156e-31
-3.141592653589793, -1.5707963267948966, 0.9424777960769379, 1.972152809588526e-31
-3.141592653589793, -1.5707963267948966, 1.2566370614359172, 1.9721532773755846e-31
-3.141592653589793, -1.5707963267948966, 1.5707963267948966, 1.972153652064409e-31
-3.141592653589793, -1.5707963267948966, 1.8849555921538759, 1.9721537288618426e-31
-3.141592653589793, -1.5707963267948966, 2.199114857512855, 1.9721536020140635e-31
-3.141592653589793, -1.5707963267948966, 2.5132741228718345, 1.9721532559090374e-31
-3.141592653589793, -1.5707963267948966, 2.827433388230814, 1.9721527783644573e-31
-3.141592653589793, -1.5707963267948966, 3.141592653589793, 1.9721524202060223e-31
-3.141592653589793, -1.2566370614359172, -3.141592653589793, 4.930382145366362e-32
