Fault: , U3Gate variation fault at 0, ratio parameter: 1 1 1, bias parameter: 0 0 0.3141592653589793
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.95105652+0.30901699j]]
faultfree_matrix, [[1.+0.j 0.-0.j] [0.+0.j 1.+0.j]]
faulty_quantum_state, [-0.34735149+0.30392376j  0.33660318+0.82077743j]
faultfree_quantum_state, [0.34836131+0.81665444j 0.42593234-0.17407346j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -2.827433388230814, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -2.199114857512855, 0.6618420816728782
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 0.6618420816728782
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 0.6618420816728781
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 0.0, 0.6618420816728778
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 0.6618420816728783
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 0.6618420816728783
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 0.661842081672878
-3.141592653589793, -3.141592653589793, 2.199114857512855, 0.661842081672878
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 2.827433388230814, 0.6618420816728781
-3.141592653589793, -3.141592653589793, 3.141592653589793, 0.6618420816728781
-3.141592653589793, -2.827433388230814, -3.141592653589793, 0.6618420816728781
-3.141592653589793, -2.827433388230814, -2.827433388230814, 0.6618420816728781
