Fault: , U3Gate variation fault at 0, ratio parameter: 1 1 1, bias parameter: 0 0.3141592653589793 0
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.95105652+0.30901699j]]
faultfree_matrix, [[1.+0.j 0.-0.j] [0.+0.j 1.+0.j]]
faulty_quantum_state, [-0.41184013+0.12899083j -0.39773416+0.8096645j ]
faultfree_quantum_state, [0.26660495+0.86238242j 0.42379092-0.07496416j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 0.790101682948599
-3.141592653589793, -3.141592653589793, -2.827433388230814, 0.790101682948599
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 0.790101682948599
-3.141592653589793, -3.141592653589793, -2.199114857512855, 0.790101682948599
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 0.7901016829485991
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 0.7901016829485992
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 0.7901016829485992
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 0.7901016829485992
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 0.7901016829485992
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 0.0, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 0.7901016829485993
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 0.790101682948599
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 0.7901016829485988
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 2.199114857512855, 0.7901016829485992
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 0.7901016829485988
-3.141592653589793, -3.141592653589793, 2.827433388230814, 0.7901016829485987
-3.141592653589793, -3.141592653589793, 3.141592653589793, 0.7901016829485987
-3.141592653589793, -2.827433388230814, -3.141592653589793, 0.790101682948599
-3.141592653589793, -2.827433388230814, -2.827433388230814, 0.790101682948599
