Fault: , U3Gate threshold fault at 0, threshold parameter: 4.71238898038469 6.283185307179586 6.283185307179586
faulty_matrix, [[-0.70710678+0.j -0.70710678-0.j] [ 0.70710678+0.j -0.70710678+0.j]]
faultfree_matrix, [[-1.0000000e+00+0.j -1.2246468e-16-0.j] [ 1.2246468e-16+0.j -1.0000000e+00+0.j]]
faulty_quantum_state, [1 0]
faultfree_quantum_state, [1 0]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -2.827433388230814, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -2.199114857512855, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 0.5000000000000002
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 0.0, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 2.199114857512855, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 2.827433388230814, 0.5000000000000002
-3.141592653589793, -3.141592653589793, 3.141592653589793, 0.5000000000000002
-3.141592653589793, -2.827433388230814, -3.141592653589793, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -2.827433388230814, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -2.5132741228718345, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -2.199114857512855, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -1.8849555921538759, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -1.5707963267948966, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -1.2566370614359172, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -0.9424777960769379, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -0.6283185307179586, 0.5000000000000003
-3.141592653589793, -2.827433388230814, -0.3141592653589793, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 0.0, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 0.3141592653589793, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 0.6283185307179586, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 0.9424777960769379, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 1.2566370614359172, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 1.5707963267948966, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 1.8849555921538759, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 2.199114857512855, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 2.5132741228718345, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 2.827433388230814, 0.5000000000000003
-3.141592653589793, -2.827433388230814, 3.141592653589793, 0.5000000000000003
-3.141592653589793, -2.5132741228718345, -3.141592653589793, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -2.827433388230814, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -2.5132741228718345, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -2.199114857512855, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -1.8849555921538759, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 0.0, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 0.3141592653589793, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 0.6283185307179586, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 0.9424777960769379, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 1.2566370614359172, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 1.5707963267948966, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 1.8849555921538759, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 2.199114857512855, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 2.5132741228718345, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 2.827433388230814, 0.5000000000000002
-3.141592653589793, -2.5132741228718345, 3.141592653589793, 0.5000000000000002
-3.141592653589793, -2.199114857512855, -3.141592653589793, 0.5
-3.141592653589793, -2.199114857512855, -2.827433388230814, 0.5
-3.141592653589793, -2.199114857512855, -2.5132741228718345, 0.5
-3.141592653589793, -2.199114857512855, -2.199114857512855, 0.5
-3.141592653589793, -2.199114857512855, -1.8849555921538759, 0.5
-3.141592653589793, -2.199114857512855, -1.5707963267948966, 0.5
-3.141592653589793, -2.199114857512855, -1.2566370614359172, 0.5
-3.141592653589793, -2.199114857512855, -0.9424777960769379, 0.5
-3.141592653589793, -2.199114857512855, -0.6283185307179586, 0.5
-3.141592653589793, -2.199114857512855, -0.3141592653589793, 0.5
-3.141592653589793, -2.199114857512855, 0.0, 0.5
-3.141592653589793, -2.199114857512855, 0.3141592653589793, 0.5
-3.141592653589793, -2.199114857512855, 0.6283185307179586, 0.5
-3.141592653589793, -2.199114857512855, 0.9424777960769379, 0.5
-3.141592653589793, -2.199114857512855, 1.2566370614359172, 0.5
-3.141592653589793, -2.199114857512855, 1.5707963267948966, 0.5
-3.141592653589793, -2.199114857512855, 1.8849555921538759, 0.5
-3.141592653589793, -2.199114857512855, 2.199114857512855, 0.5
-3.141592653589793, -2.199114857512855, 2.5132741228718345, 0.5
-3.141592653589793, -2.199114857512855, 2.827433388230814, 0.5
-3.141592653589793, -2.199114857512855, 3.141592653589793, 0.5
-3.141592653589793, -1.8849555921538759, -3.141592653589793, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -2.827433388230814, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -2.5132741228718345, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -2.199114857512855, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -1.8849555921538759, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -1.5707963267948966, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -1.2566370614359172, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -0.9424777960769379, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -0.6283185307179586, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, -0.3141592653589793, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 0.0, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 0.3141592653589793, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 0.6283185307179586, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 0.9424777960769379, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 1.2566370614359172, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 1.5707963267948966, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 1.8849555921538759, 0.5000000000000003
-3.141592653589793, -1.8849555921538759, 2.199114857512855, 0.5000000000000003
