Fault: , U3Gate variation fault at 0, ratio parameter: 1 1 1, bias parameter: 0 0 0.3141592653589793
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.95105652+0.30901699j]]
faultfree_matrix, [[1.+0.j 0.-0.j] [0.+0.j 1.+0.j]]
faulty_quantum_state, [-0.41123766+0.13158291j -0.1154741 +0.8945587j ]
faultfree_quantum_state, [0.27052224+0.86117454j 0.42282832-0.08007713j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -2.827433388230814, 0.7897062500169129
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 0.7897062500169129
-3.141592653589793, -3.141592653589793, -2.199114857512855, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 0.7897062500169134
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 0.7897062500169132
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 0.0, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 0.789706250016913
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 0.789706250016913
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 0.7897062500169132
-3.141592653589793, -3.141592653589793, 2.199114857512855, 0.789706250016913
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 0.789706250016913
-3.141592653589793, -3.141592653589793, 2.827433388230814, 0.7897062500169134
-3.141592653589793, -3.141592653589793, 3.141592653589793, 0.7897062500169132
-3.141592653589793, -2.827433388230814, -3.141592653589793, 0.7897062500169136
-3.141592653589793, -2.827433388230814, -2.827433388230814, 0.7897062500169132
