Fault: , U3Gate variation fault at 0, ratio parameter: 0.9 1 1, bias parameter: 0 0 0
faulty_matrix, [[-0.95105652+0.j -0.30901699-0.j] [ 0.30901699+0.j -0.95105652+0.j]]
faultfree_matrix, [[-1.0000000e+00+0.j -1.2246468e-16-0.j] [ 1.2246468e-16+0.j -1.0000000e+00+0.j]]
faulty_quantum_state, [ 0.50810036+0.j -0.86129787+0.j]
faultfree_quantum_state, [ 0.89826103+0.j -0.43946231+0.j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 1.2898300770038675
-3.141592653589793, -3.141592653589793, -2.827433388230814, 1.2347676111054835
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 1.0817708322995239
-3.141592653589793, -3.141592653589793, -2.199114857512855, 0.8636206502334647
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 0.6236787203944376
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 0.4032367495955218
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 0.23067385493234077
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 0.11608097376661027
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 0.0528707367756755
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 0.025223006643013135
-3.141592653589793, -3.141592653589793, 0.0, 0.018039616880363443
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 0.025223006643013184
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 0.0528707367756755
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 0.11608097376661027
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 0.23067385493234072
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 0.4032367495955218
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 0.6236787203944375
-3.141592653589793, -3.141592653589793, 2.199114857512855, 0.8636206502334647
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 1.0817708322995239
-3.141592653589793, -3.141592653589793, 2.827433388230814, 1.2347676111054835
-3.141592653589793, -3.141592653589793, 3.141592653589793, 1.2898300770038675
-3.141592653589793, -2.827433388230814, -3.141592653589793, 1.258466864164059
-3.141592653589793, -2.827433388230814, -2.827433388230814, 1.2834050755068627
-3.141592653589793, -2.827433388230814, -2.5132741228718345, 1.2001166809886592
-3.141592653589793, -2.827433388230814, -2.199114857512855, 1.026865610719629
-3.141592653589793, -2.827433388230814, -1.8849555921538759, 0.800045771700649
-3.141592653589793, -2.827433388230814, -1.5707963267948966, 0.5631950930819055
-3.141592653589793, -2.827433388230814, -1.2566370614359172, 0.354584400297821
-3.141592653589793, -2.827433388230814, -0.9424777960769379, 0.19770877263089465
-3.141592653589793, -2.827433388230814, -0.6283185307179586, 0.09781320778356271
-3.141592653589793, -2.827433388230814, -0.3141592653589793, 0.04524129452465073
-3.141592653589793, -2.827433388230814, 0.0, 0.023803915053735053
-3.141592653589793, -2.827433388230814, 0.3141592653589793, 0.02051327866092854
-3.141592653589793, -2.827433388230814, 0.6283185307179586, 0.032616684566941626
-3.141592653589793, -2.827433388230814, 0.9424777960769379, 0.06904044882267682
-3.141592653589793, -2.827433388230814, 1.2566370614359172, 0.145654044735253
-3.141592653589793, -2.827433388230814, 1.5707963267948966, 0.27629322269870027
-3.141592653589793, -2.827433388230814, 1.8849555921538759, 0.46325634053278725
-3.141592653589793, -2.827433388230814, 2.199114857512855, 0.691316956811904
-3.141592653589793, -2.827433388230814, 2.5132741228718345, 0.9280398276725308
-3.141592653589793, -2.827433388230814, 2.827433388230814, 1.130817984037847
-3.141592653589793, -2.827433388230814, 3.141592653589793, 1.258466864164059
-3.141592653589793, -2.5132741228718345, -3.141592653589793, 1.169632981103868
-3.141592653589793, -2.5132741228718345, -2.827433388230814, 1.268549076769841
-3.141592653589793, -2.5132741228718345, -2.5132741228718345, 1.263763675208788
-3.141592653589793, -2.5132741228718345, -2.199114857512855, 1.1563231294982648
-3.141592653589793, -2.5132741228718345, -1.8849555921538759, 0.9693132370282523
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 0.7407985985512064
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 0.5125494114744861
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 0.31854196303255167
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 0.17718912937737097
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 0.08975874253668015
-3.141592653589793, -2.5132741228718345, 0.0, 0.045050328434817176
-3.141592653589793, -2.5132741228718345, 0.3141592653589793, 0.02803866570779272
-3.141592653589793, -2.5132741228718345, 0.6283185307179586, 0.028755307932757653
-3.141592653589793, -2.5132741228718345, 0.9424777960769379, 0.04770802980649894
-3.141592653589793, -2.5132741228718345, 1.2566370614359172, 0.09561037505417261
-3.141592653589793, -2.5132741228718345, 1.5707963267948966, 0.18753209787062508
-3.141592653589793, -2.5132741228718345, 1.8849555921538759, 0.3338768520083977
-3.141592653589793, -2.5132741228718345, 2.199114857512855, 0.5319530597864195
-3.141592653589793, -2.5132741228718345, 2.5132741228718345, 0.7617937172783824
-3.141592653589793, -2.5132741228718345, 2.827433388230814, 0.9883316513414123
-3.141592653589793, -2.5132741228718345, 3.141592653589793, 1.169632981103868
-3.141592653589793, -2.199114857512855, -3.141592653589793, 1.037746358962592
-3.141592653589793, -2.199114857512855, -2.827433388230814, 1.192719762180979
-3.141592653589793, -2.199114857512855, -2.5132741228718345, 1.261797312379374
-3.141592653589793, -2.199114857512855, -2.199114857512855, 1.2302968163678871
-3.141592653589793, -2.199114857512855, -1.8849555921538759, 1.104954402095231
-3.141592653589793, -2.199114857512855, -1.5707963267948966, 0.9118699552101026
-3.141592653589793, -2.199114857512855, -1.2566370614359172, 0.6886695006983937
-3.141592653589793, -2.199114857512855, -0.9424777960769379, 0.47366957258243725
-3.141592653589793, -2.199114857512855, -0.6283185307179586, 0.2958362631036827
-3.141592653589793, -2.199114857512855, -0.3141592653589793, 0.16892449570918866
-3.141592653589793, -2.199114857512855, 0.0, 0.09152678161006925
-3.141592653589793, -2.199114857512855, 0.3141592653589793, 0.05249377429760051
-3.141592653589793, -2.199114857512855, 0.6283185307179586, 0.03917817808076409
-3.141592653589793, -2.199114857512855, 0.9424777960769379, 0.044963015007601026
-3.141592653589793, -2.199114857512855, 1.2566370614359172, 0.0729346648566304
-3.141592653589793, -2.199114857512855, 1.5707963267948966, 0.13418556447842173
-3.141592653589793, -2.199114857512855, 1.8849555921538759, 0.24144562308421166
-3.141592653589793, -2.199114857512855, 2.199114857512855, 0.40068359721860963
-3.141592653589793, -2.199114857512855, 2.5132741228718345, 0.6042325657820135
-3.141592653589793, -2.199114857512855, 2.827433388230814, 0.8285150976001345
-3.141592653589793, -2.199114857512855, 3.141592653589793, 1.0377463589625915
-3.141592653589793, -1.8849555921538759, -3.141592653589793, 0.8827900713379188
-3.141592653589793, -1.8849555921538759, -2.827433388230814, 1.0684848848864172
-3.141592653589793, -1.8849555921538759, -2.5132741228718345, 1.1945599135043459
-3.141592653589793, -1.8849555921538759, -2.199114857512855, 1.2356933259763192
-3.141592653589793, -1.8849555921538759, -1.8849555921538759, 1.1833601936599845
-3.141592653589793, -1.8849555921538759, -1.5707963267948966, 1.048385245388742
-3.141592653589793, -1.8849555921538759, -1.2566370614359172, 0.8577052984604971
-3.141592653589793, -1.8849555921538759, -0.9424777960769379, 0.6464901917069706
-3.141592653589793, -1.8849555921538759, -0.6283185307179586, 0.4483958603972672
-3.141592653589793, -1.8849555921538759, -0.3141592653589793, 0.28731166152060367
-3.141592653589793, -1.8849555921538759, 0.0, 0.17330364158673148
-3.141592653589793, -1.8849555921538759, 0.3141592653589793, 0.10380717099200933
-3.141592653589793, -1.8849555921538759, 0.6283185307179586, 0.06912029140755718
-3.141592653589793, -1.8849555921538759, 0.9424777960769379, 0.05965766728691434
-3.141592653589793, -1.8849555921538759, 1.2566370614359172, 0.07184706257272941
-3.141592653589793, -1.8849555921538759, 1.5707963267948966, 0.11019729154182159
-3.141592653589793, -1.8849555921538759, 1.8849555921538759, 0.1846788955162906
-3.141592653589793, -1.8849555921538759, 2.199114857512855, 0.3045058532363403
-3.141592653589793, -1.8849555921538759, 2.5132741228718345, 0.4709293961947132
-3.141592653589793, -1.8849555921538759, 2.827433388230814, 0.6721573321018968
-3.141592653589793, -1.8849555921538759, 3.141592653589793, 0.8827900713379186
-3.141592653589793, -1.5707963267948966, -3.141592653589793, 0.7256545710298
-3.141592653589793, -1.5707963267948966, -2.827433388230814, 0.915264349850007
-3.141592653589793, -1.5707963267948966, -2.5132741228718345, 1.0735598807308908
-3.141592653589793, -1.5707963267948966, -2.199114857512855, 1.1715393998305759
-3.141592653589793, -1.5707963267948966, -1.8849555921538759, 1.1900965090451532
-3.141592653589793, -1.5707963267948966, -1.5707963267948966, 1.125525033360315
-3.141592653589793, -1.5707963267948966, -1.2566370614359172, 0.9906035990385824
-3.141592653589793, -1.5707963267948966, -0.9424777960769379, 0.8108780665787029
-3.141592653589793, -1.5707963267948966, -0.6283185307179586, 0.6174479176887042
-3.141592653589793, -1.5707963267948966, -0.3141592653589793, 0.43876292316001414
-3.141592653589793, -1.5707963267948966, 0.0, 0.29420369109806765
-3.141592653589793, -1.5707963267948966, 0.3141592653589793, 0.1914627660139168
-3.141592653589793, -1.5707963267948966, 0.6283185307179586, 0.12825833503848974
-3.141592653589793, -1.5707963267948966, 0.9424777960769379, 0.09727059387738902
-3.141592653589793, -1.5707963267948966, 1.2566370614359172, 0.09201735842876967
-3.141592653589793, -1.5707963267948966, 1.5707963267948966, 0.11112317611038292
-3.141592653589793, -1.5707963267948966, 1.8849555921538759, 0.15917575669605882
-3.141592653589793, -1.5707963267948966, 2.199114857512855, 0.24381018925048148
-3.141592653589793, -1.5707963267948966, 2.5132741228718345, 0.370248560201896
-3.141592653589793, -1.5707963267948966, 2.827433388230814, 0.5356296809646277
-3.141592653589793, -1.5707963267948966, 3.141592653589793, 0.7256545710298
-3.141592653589793, -1.2566370614359172, -3.141592653589793, 0.5839070813019229
-3.141592653589793, -1.2566370614359172, -2.827433388230814, 0.7546565938717935
-3.141592653589793, -1.2566370614359172, -2.5132741228718345, 0.9184633286545958
-3.141592653589793, -1.2566370614359172, -2.199114857512855, 1.0492471145174362
-3.141592653589793, -1.2566370614359172, -1.8849555921538759, 1.123898910389567
-3.141592653589793, -1.2566370614359172, -1.5707963267948966, 1.1284798078126208
-3.141592653589793, -1.2566370614359172, -1.2566370614359172, 1.0621184647728332
-3.141592653589793, -1.2566370614359172, -0.9424777960769379, 0.9372579443228002
-3.141592653589793, -1.2566370614359172, -0.6283185307179586, 0.7761660907822913
-3.141592653589793, -1.2566370614359172, -0.3141592653589793, 0.6049187100550706
-3.141592653589793, -1.2566370614359172, 0.0, 0.4469101594661349
-3.141592653589793, -1.2566370614359172, 0.3141592653589793, 0.31803034871444236
-3.141592653589793, -1.2566370614359172, 0.6283185307179586, 0.22494777920561554
-3.141592653589793, -1.2566370614359172, 0.9424777960769379, 0.16672839476385454
-3.141592653589793, -1.2566370614359172, 1.2566370614359172, 0.1387641014903464
-3.141592653589793, -1.2566370614359172, 1.5707963267948966, 0.13716076870063326
-3.141592653589793, -1.2566370614359172, 1.8849555921538759, 0.16165240992224253
-3.141592653589793, -1.2566370614359172, 2.199114857512855, 0.21578876509830003
