Fault: , U3Gate variation fault at 0, ratio parameter: 1 0.9 1, bias parameter: 0 0 0
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.80901699-0.58778525j]]
faultfree_matrix, [[1.+0.0000000e+00j 0.-0.0000000e+00j] [0.+0.0000000e+00j 1.-2.4492936e-16j]]
faulty_quantum_state, [ 0.70627267-0.00335634j -0.61590789+0.34903455j]
faultfree_quantum_state, [ 0.70846022-0.00336479j -0.70025637-0.08782831j]
theta, phi, lam, score 
-3.141592653589793, -3.141592653589793, -3.141592653589793, 1.9156182961785734e-05
-3.141592653589793, -3.141592653589793, -2.827433388230814, 1.9156182961786764e-05
-3.141592653589793, -3.141592653589793, -2.5132741228718345, 1.915618296178505e-05
-3.141592653589793, -3.141592653589793, -2.199114857512855, 1.9156182961785392e-05
-3.141592653589793, -3.141592653589793, -1.8849555921538759, 1.915618296178608e-05
-3.141592653589793, -3.141592653589793, -1.5707963267948966, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, -1.2566370614359172, 1.9156182961786764e-05
-3.141592653589793, -3.141592653589793, -0.9424777960769379, 1.9156182961785734e-05
-3.141592653589793, -3.141592653589793, -0.6283185307179586, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, -0.3141592653589793, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, 0.0, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, 0.3141592653589793, 1.9156182961786764e-05
-3.141592653589793, -3.141592653589793, 0.6283185307179586, 1.9156182961785392e-05
-3.141592653589793, -3.141592653589793, 0.9424777960769379, 1.9156182961786764e-05
-3.141592653589793, -3.141592653589793, 1.2566370614359172, 1.915618296178711e-05
-3.141592653589793, -3.141592653589793, 1.5707963267948966, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, 1.8849555921538759, 1.915618296178608e-05
-3.141592653589793, -3.141592653589793, 2.199114857512855, 1.9156182961785734e-05
-3.141592653589793, -3.141592653589793, 2.5132741228718345, 1.9156182961786422e-05
-3.141592653589793, -3.141592653589793, 2.827433388230814, 1.915618296178711e-05
-3.141592653589793, -3.141592653589793, 3.141592653589793, 1.9156182961786422e-05
-3.141592653589793, -2.827433388230814, -3.141592653589793, 1.9156182961787455e-05
-3.141592653589793, -2.827433388230814, -2.827433388230814, 1.9156182961788485e-05
-3.141592653589793, -2.827433388230814, -2.5132741228718345, 1.9156182961786764e-05
-3.141592653589793, -2.827433388230814, -2.199114857512855, 1.915618296178711e-05
-3.141592653589793, -2.827433388230814, -1.8849555921538759, 1.9156182961787794e-05
-3.141592653589793, -2.827433388230814, -1.5707963267948966, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, -1.2566370614359172, 1.9156182961788485e-05
-3.141592653589793, -2.827433388230814, -0.9424777960769379, 1.9156182961787455e-05
-3.141592653589793, -2.827433388230814, -0.6283185307179586, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, -0.3141592653589793, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, 0.0, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, 0.3141592653589793, 1.9156182961788485e-05
-3.141592653589793, -2.827433388230814, 0.6283185307179586, 1.915618296178711e-05
-3.141592653589793, -2.827433388230814, 0.9424777960769379, 1.9156182961788485e-05
-3.141592653589793, -2.827433388230814, 1.2566370614359172, 1.9156182961788827e-05
-3.141592653589793, -2.827433388230814, 1.5707963267948966, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, 1.8849555921538759, 1.9156182961787794e-05
-3.141592653589793, -2.827433388230814, 2.199114857512855, 1.9156182961787455e-05
-3.141592653589793, -2.827433388230814, 2.5132741228718345, 1.915618296178814e-05
-3.141592653589793, -2.827433388230814, 2.827433388230814, 1.9156182961788827e-05
-3.141592653589793, -2.827433388230814, 3.141592653589793, 1.915618296178814e-05
-3.141592653589793, -2.5132741228718345, -3.141592653589793, 1.915618296178505e-05
-3.141592653589793, -2.5132741228718345, -2.827433388230814, 1.915618296178608e-05
-3.141592653589793, -2.5132741228718345, -2.5132741228718345, 1.915618296178436e-05
-3.141592653589793, -2.5132741228718345, -2.199114857512855, 1.9156182961784704e-05
-3.141592653589793, -2.5132741228718345, -1.8849555921538759, 1.915618296178539e-05
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 1.9156182961785734e-05
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 1.9156182961786764e-05
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 1.9156182961785734e-05
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 1.9156182961786422e-05
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 1.9156182961786422e-05
-3.141592653589793, -2.5132741228718345, 0.0, 1.9156182961786422e-05
-3.141592653589793, -2.5132741228718345, 0.3141592653589793, 1.9156182961786764e-05
-3.141592653589793, -2.5132741228718345, 0.6283185307179586, 1.9156182961785392e-05
-3.141592653589793, -2.5132741228718345, 0.9424777960769379, 1.9156182961786764e-05
-3.141592653589793, -2.5132741228718345, 1.2566370614359172, 1.915618296178711e-05
-3.141592653589793, -2.5132741228718345, 1.5707963267948966, 1.915618296178608e-05
-3.141592653589793, -2.5132741228718345, 1.8849555921538759, 1.9156182961785734e-05
-3.141592653589793, -2.5132741228718345, 2.199114857512855, 1.9156182961785734e-05
-3.141592653589793, -2.5132741228718345, 2.5132741228718345, 1.9156182961786422e-05
-3.141592653589793, -2.5132741228718345, 2.827433388230814, 1.915618296178711e-05
-3.141592653589793, -2.5132741228718345, 3.141592653589793, 1.9156182961785734e-05
-3.141592653589793, -2.199114857512855, -3.141592653589793, 1.9156182961786425e-05
-3.141592653589793, -2.199114857512855, -2.827433388230814, 1.9156182961787455e-05
-3.141592653589793, -2.199114857512855, -2.5132741228718345, 1.9156182961785734e-05
-3.141592653589793, -2.199114857512855, -2.199114857512855, 1.9156182961786764e-05
-3.141592653589793, -2.199114857512855, -1.8849555921538759, 1.9156182961787452e-05
-3.141592653589793, -2.199114857512855, -1.5707963267948966, 1.9156182961787794e-05
-3.141592653589793, -2.199114857512855, -1.2566370614359172, 1.915618296178814e-05
-3.141592653589793, -2.199114857512855, -0.9424777960769379, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, -0.6283185307179586, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, -0.3141592653589793, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, 0.0, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, 0.3141592653589793, 1.9156182961787455e-05
-3.141592653589793, -2.199114857512855, 0.6283185307179586, 1.915618296178608e-05
-3.141592653589793, -2.199114857512855, 0.9424777960769379, 1.9156182961787455e-05
-3.141592653589793, -2.199114857512855, 1.2566370614359172, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, 1.5707963267948966, 1.9156182961786422e-05
-3.141592653589793, -2.199114857512855, 1.8849555921538759, 1.915618296178608e-05
-3.141592653589793, -2.199114857512855, 2.199114857512855, 1.9156182961785734e-05
-3.141592653589793, -2.199114857512855, 2.5132741228718345, 1.9156182961786422e-05
-3.141592653589793, -2.199114857512855, 2.827433388230814, 1.915618296178711e-05
-3.141592653589793, -2.199114857512855, 3.141592653589793, 1.915618296178711e-05
-3.141592653589793, -1.8849555921538759, -3.141592653589793, 1.9156182961786425e-05
-3.141592653589793, -1.8849555921538759, -2.827433388230814, 1.9156182961787455e-05
-3.141592653589793, -1.8849555921538759, -2.5132741228718345, 1.915618296178505e-05
-3.141592653589793, -1.8849555921538759, -2.199114857512855, 1.9156182961785392e-05
-3.141592653589793, -1.8849555921538759, -1.8849555921538759, 1.915618296178608e-05
-3.141592653589793, -1.8849555921538759, -1.5707963267948966, 1.915618296178711e-05
-3.141592653589793, -1.8849555921538759, -1.2566370614359172, 1.9156182961787455e-05
-3.141592653589793, -1.8849555921538759, -0.9424777960769379, 1.9156182961785734e-05
-3.141592653589793, -1.8849555921538759, -0.6283185307179586, 1.9156182961786422e-05
-3.141592653589793, -1.8849555921538759, -0.3141592653589793, 1.9156182961786422e-05
-3.141592653589793, -1.8849555921538759, 0.0, 1.9156182961786422e-05
-3.141592653589793, -1.8849555921538759, 0.3141592653589793, 1.9156182961786764e-05
-3.141592653589793, -1.8849555921538759, 0.6283185307179586, 1.9156182961785392e-05
-3.141592653589793, -1.8849555921538759, 0.9424777960769379, 1.9156182961786764e-05
-3.141592653589793, -1.8849555921538759, 1.2566370614359172, 1.915618296178711e-05
-3.141592653589793, -1.8849555921538759, 1.5707963267948966, 1.9156182961786422e-05
-3.141592653589793, -1.8849555921538759, 1.8849555921538759, 1.915618296178608e-05
-3.141592653589793, -1.8849555921538759, 2.199114857512855, 1.9156182961786425e-05
-3.141592653589793, -1.8849555921538759, 2.5132741228718345, 1.915618296178711e-05
-3.141592653589793, -1.8849555921538759, 2.827433388230814, 1.9156182961787797e-05
-3.141592653589793, -1.8849555921538759, 3.141592653589793, 1.915618296178711e-05
-3.141592653589793, -1.5707963267948966, -3.141592653589793, 1.9156182961785392e-05
-3.141592653589793, -1.5707963267948966, -2.827433388230814, 1.915618296178608e-05
-3.141592653589793, -1.5707963267948966, -2.5132741228718345, 1.915618296178436e-05
-3.141592653589793, -1.5707963267948966, -2.199114857512855, 1.9156182961784704e-05
-3.141592653589793, -1.5707963267948966, -1.8849555921538759, 1.915618296178539e-05
-3.141592653589793, -1.5707963267948966, -1.5707963267948966, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, -1.2566370614359172, 1.915618296178608e-05
-3.141592653589793, -1.5707963267948966, -0.9424777960769379, 1.915618296178505e-05
-3.141592653589793, -1.5707963267948966, -0.6283185307179586, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, -0.3141592653589793, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, 0.0, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, 0.3141592653589793, 1.915618296178608e-05
-3.141592653589793, -1.5707963267948966, 0.6283185307179586, 1.9156182961784704e-05
-3.141592653589793, -1.5707963267948966, 0.9424777960769379, 1.915618296178608e-05
-3.141592653589793, -1.5707963267948966, 1.2566370614359172, 1.9156182961786422e-05
-3.141592653589793, -1.5707963267948966, 1.5707963267948966, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, 1.8849555921538759, 1.9156182961785734e-05
-3.141592653589793, -1.5707963267948966, 2.199114857512855, 1.9156182961785392e-05
-3.141592653589793, -1.5707963267948966, 2.5132741228718345, 1.915618296178608e-05
-3.141592653589793, -1.5707963267948966, 2.827433388230814, 1.9156182961786764e-05
-3.141592653589793, -1.5707963267948966, 3.141592653589793, 1.915618296178608e-05
